title,make,model,year,mileage_km,price_usd,fuel,gearbox,city,listing_date,url
Mercedes-Benz GLE-Class 2023,Mercedes-Benz,GLE-Class,2023,24000,105500,Гібрид,Автомат,Ужгород,2026-06-23,https://auto.ria.com/uk/auto_mercedes-benz_gle-class_39779864.html
Mercedes-Benz CLA-Class 2018,Mercedes-Benz,CLA-Class,2018,100000,21500,Бензин,Автомат,Київ,2026-06-15,https://auto.ria.com/uk/auto_mercedes-benz_cla-class_39906842.html
Mercedes-Benz CLS-Class 2015,Mercedes-Benz,CLS-Class,2015,120000,32000,Бензин,Автомат,Київ,2026-06-20,https://auto.ria.com/uk/auto_mercedes-benz_cls-class_40014883.html
Volkswagen Tiguan 2016,Volkswagen,Tiguan,2016,207000,9900,Бензин,Автомат,Львів (Львівська),2026-06-29,https://auto.ria.com/uk/auto_volkswagen_tiguan_40030906.html
Land Rover Range Rover 2010,Land,Rover,2010,235000,17500,Дизель,Автомат,Чернівці (Чернівецька),2026-06-26,https://auto.ria.com/uk/auto_land-rover_range-rover_37550442.html
Tesla Model 3 2024,Tesla,Model,2024,25000,33500,Електро,,Київ,,https://auto.ria.com/uk/auto_tesla_model-3_39943602.html
Land Rover Range Rover Sport 2016,Land,Rover,2016,162000,29999,Дизель,Автомат,Коломия,2026-06-28,https://auto.ria.com/uk/auto_land-rover_range-rover-sport_40079744.html
Volkswagen Tiguan 2016,Volkswagen,Tiguan,2016,210000,18500,Дизель,Автомат,Київ,2026-06-27,https://auto.ria.com/uk/auto_volkswagen_tiguan_40076463.html
Land Rover Range Rover 2020,Land,Rover,2020,79000,82500,Бензин,Автомат,Львів (Львівська),2026-06-26,https://auto.ria.com/uk/auto_land-rover_range-rover_39635131.html
Renault Talisman 2018,Renault,Talisman,2018,231000,13900,Дизель,Автомат,Хмельницький,2026-06-28,https://auto.ria.com/uk/auto_renault_talisman_40036164.html
Land Rover Range Rover 2023,Land,Rover,2023,35000,229900,Дизель,Автомат,Дніпро (Дніпропетровськ),2026-06-27,https://auto.ria.com/uk/auto_land-rover_range-rover_40076195.html
Tesla Model 3 2019,Tesla,Model,2019,286000,11200,Електро,,Луцьк,2026-06-23,https://auto.ria.com/uk/auto_tesla_model-3_40057783.html
Volkswagen Tiguan 2023,Volkswagen,Tiguan,2023,45000,31400,Бензин,Автомат,Київ,2026-06-15,https://auto.ria.com/uk/auto_volkswagen_tiguan_40021695.html
Land Rover Range Rover Sport 2019,Land,Rover,2019,69000,64900,Дизель,Автомат,Чернівці (Чернівецька),,https://auto.ria.com/uk/auto_land-rover_range-rover-sport_39339698.html
Hyundai Ioniq 2021,Hyundai,Ioniq,2021,9000,19900,Гібрид,Автомат,Одеса,,https://auto.ria.com/uk/auto_hyundai_ioniq_39917198.html
BMW 5 Series 2020,BMW,5,2020,20000,37500,Бензин,Автомат,Львів (Львівська),2026-06-28,https://auto.ria.com/uk/auto_bmw_5-series_40078789.html
Land Rover Range Rover Sport 2020,Land,Rover,2020,137000,55000,Дизель,Автомат,Запоріжжя,2026-06-26,https://auto.ria.com/uk/auto_land-rover_range-rover-sport_40070498.html
Porsche Cayenne 2022,Porsche,Cayenne,2022,43000,125900,Бензин,Автомат,Київ,2026-06-25,https://auto.ria.com/uk/auto_porsche_cayenne_40067607.html
Renault Megane 2013,Renault,Megane,2013,290000,7799,Дизель,Ручна / Механіка,Бершадь,2026-06-24,https://auto.ria.com/uk/auto_renault_megane_39926395.html
Skoda Rapid 2017,Skoda,Rapid,2017,170000,5999,Дизель,Ручна / Механіка,Київ,2026-06-29,https://auto.ria.com/uk/auto_skoda_rapid_40080951.html
BMW X7 2024,BMW,X7,2024,28000,124999,Гібрид,Автомат,Київ,2026-06-27,https://auto.ria.com/uk/auto_bmw_x7_40076856.html
Land Rover Range Rover 2018,Land,Rover,2018,131000,45200,Бензин,Автомат,Чернівці (Чернівецька),2026-06-24,https://auto.ria.com/uk/auto_land-rover_range-rover_38994429.html
BMW 5 Series 2019,BMW,5,2019,137000,42000,Бензин,Автомат,Одеса,2026-06-23,https://auto.ria.com/uk/auto_bmw_5-series_40057352.html
Skoda Octavia 2017,Skoda,Octavia,2017,140000,15100,Дизель,Автомат,Черкаси,2026-06-22,https://auto.ria.com/uk/auto_skoda_octavia_39561308.html
Lexus NX 2025,Lexus,NX,2025,3000,48000,Бензин,Варіатор,Дніпро (Дніпропетровськ),2026-06-19,https://auto.ria.com/uk/auto_lexus_nx_40037956.html
Volkswagen Tiguan 2012,Volkswagen,Tiguan,2012,225000,11350,Бензин,Ручна / Механіка,Стрий,2026-06-17,https://auto.ria.com/uk/auto_volkswagen_tiguan_40027844.html
BMW X7 2020,BMW,X7,2020,180000,50000,Бензин,Автомат,Шептицький,2026-06-27,https://auto.ria.com/uk/auto_bmw_x7_39980212.html
Hyundai Tucson 2022,Hyundai,Tucson,2022,31000,23899,Бензин,Автомат,Київ,2026-06-23,https://auto.ria.com/uk/auto_hyundai_tucson_40057755.html
Skoda Octavia 2012,Skoda,Octavia,2012,352000,9200,Дизель,Автомат,Олександрія,2026-06-22,https://auto.ria.com/uk/auto_skoda_octavia_40052549.html
Audi Q5 2020,Audi,Q5,2020,91000,34777,Бензин,Автомат,Стрий,2026-06-15,https://auto.ria.com/uk/auto_audi_q5_39737895.html
Renault Megane 2016,Renault,Megane,2016,250000,13500,Дизель,Ручна / Механіка,Дніпро (Дніпропетровськ),,https://auto.ria.com/uk/auto_renault_megane_39957459.html
Audi Q5 2015,Audi,Q5,2015,129000,17000,Бензин,Автомат,Радомишль,2026-06-28,https://auto.ria.com/uk/auto_audi_q5_40079741.html
Mercedes-Benz EQE 2023,Mercedes-Benz,EQE,2023,15000,55000,Електро,,Київ,2026-06-27,https://auto.ria.com/uk/auto_mercedes-benz_eqe_40075568.html
Porsche Cayenne 2023,Porsche,Cayenne,2023,19000,115000,Бензин,Автомат,Київ,2026-06-27,https://auto.ria.com/uk/auto_porsche_cayenne_38607862.html
Skoda Kodiaq 2019,Skoda,Kodiaq,2019,185000,27000,Дизель,Автомат,Кривий Ріг,,https://auto.ria.com/uk/auto_skoda_kodiaq_40051450.html
Skoda Octavia 2013,Skoda,Octavia,2013,232000,8350,Дизель,Ручна / Механіка,Трускавець,2026-06-21,https://auto.ria.com/uk/auto_skoda_octavia_40049504.html
Mercedes-Benz GLE-Class 2016,Mercedes-Benz,GLE-Class,2016,93000,38500,Дизель,Автомат,Одеса,2026-06-21,https://auto.ria.com/uk/auto_mercedes-benz_gle-class_40048929.html
Hyundai Tucson 2020,Hyundai,Tucson,2020,101000,22900,Дизель,Автомат,Вінниця,2026-06-16,https://auto.ria.com/uk/auto_hyundai_tucson_40026482.html
Mercedes-Benz E-Class 2019,Mercedes-Benz,E-Class,2019,102000,33800,Бензин,Автомат,Київ,2026-06-16,https://auto.ria.com/uk/auto_mercedes-benz_e-class_40024731.html
Land Rover Range Rover 2019,Land,Rover,2019,155000,55000,Дизель,Автомат,Київ,2026-06-10,https://auto.ria.com/uk/auto_land-rover_range-rover_39732053.html
Audi Q5 2017,Audi,Q5,2017,127000,15999,Бензин,Автомат,Стрий,2026-06-27,https://auto.ria.com/uk/auto_audi_q5_40074952.html
Tesla Model 3 2022,Tesla,Model,2022,45000,23400,Електро,,Рівне (Рівненська),2026-06-27,https://auto.ria.com/uk/auto_tesla_model-3_39989380.html
Land Rover Range Rover 2018,Land,Rover,2018,152000,50000,Бензин,Автомат,Київ,2026-06-25,https://auto.ria.com/uk/auto_land-rover_range-rover_39928915.html
Renault Megane 2018,Renault,Megane,2018,194000,11900,Дизель,Автомат,Хмельницький,2026-06-29,https://auto.ria.com/uk/auto_renault_megane_40063218.html
Lexus RX 2004,Lexus,RX,2004,250000,8000,Бензин,Автомат,Одеса,2026-06-23,https://auto.ria.com/uk/auto_lexus_rx_40059000.html
Mercedes-Benz V-Class 2020,Mercedes-Benz,V-Class,2020,115000,57000,Дизель,Автомат,Немирів (Вінницька),2026-06-20,https://auto.ria.com/uk/auto_mercedes-benz_v-class_39762727.html
BMW 3 Series 2014,BMW,3,2014,345000,12900,Дизель,Автомат,Львів (Львівська),2026-06-18,https://auto.ria.com/uk/auto_bmw_3-series_39544965.html
Mercedes-Benz E-Class 2017,Mercedes-Benz,E-Class,2017,138000,23000,Бензин,Автомат,Львів (Львівська),2026-06-06,https://auto.ria.com/uk/auto_mercedes-benz_e-class_39978795.html
Mercedes-Benz E-Class 2017,Mercedes-Benz,E-Class,2017,105000,33300,Бензин,Автомат,Київ,,https://auto.ria.com/uk/auto_mercedes-benz_e-class_39962344.html
Lexus RX 2022,Lexus,RX,2022,44000,50000,Бензин,Типтронік,Вінниця,,https://auto.ria.com/uk/auto_lexus_rx_39818861.html
Mercedes-Benz EQS SUV 2023,Mercedes-Benz,EQS,2023,31000,67800,Електро,,Київ,,https://auto.ria.com/uk/auto_mercedes-benz_eqs-suv_39950992.html
BMW 3 Series 2016,BMW,3,2016,109000,15600,Бензин,Автомат,Київ,2026-06-28,https://auto.ria.com/uk/auto_bmw_3-series_40079185.html
Lexus RX 2023,Lexus,RX,2023,58000,63000,Гібрид,Варіатор,Київ,2026-06-28,https://auto.ria.com/uk/auto_lexus_rx_40077892.html
Volkswagen Tiguan 2022,Volkswagen,Tiguan,2022,69000,22450,Бензин,Автомат,Стрий,2026-06-26,https://auto.ria.com/uk/auto_volkswagen_tiguan_40073497.html
Toyota Land Cruiser 2012,Toyota,Land,2012,318000,33000,Дизель,Автомат,Львів (Львівська),2026-06-25,https://auto.ria.com/uk/auto_toyota_land-cruiser_40065453.html
BMW X3 2016,BMW,X3,2016,149000,19400,Бензин,Автомат,Одеса,,https://auto.ria.com/uk/auto_bmw_x3_39630536.html
Skoda Octavia 2016,Skoda,Octavia,2016,238000,12500,Дизель,Ручна / Механіка,Броди (Львівська),2026-06-25,https://auto.ria.com/uk/auto_skoda_octavia_40064593.html
Audi Q5 2019,Audi,Q5,2019,112000,26500,Бензин,Автомат,Стрий,2026-06-21,https://auto.ria.com/uk/auto_audi_q5_39985755.html
Volkswagen Tiguan 2020,Volkswagen,Tiguan,2020,74000,22950,Бензин,Автомат,Стрий,2026-06-21,https://auto.ria.com/uk/auto_volkswagen_tiguan_40017091.html
Audi Q5 2021,Audi,Q5,2021,118000,29900,Бензин,Автомат,Луцьк,2026-06-06,https://auto.ria.com/uk/auto_audi_q5_39981259.html
Lexus RX 2010,Lexus,RX,2010,169000,17800,Бензин,Автомат,Київ,,https://auto.ria.com/uk/auto_lexus_rx_39123590.html
Lexus NX 2017,Lexus,NX,2017,110000,22999,Бензин,Автомат,Одеса,,https://auto.ria.com/uk/auto_lexus_nx_39929157.html
Hyundai Santa FE 2012,Hyundai,Santa,2012,79000,14999,Дизель,Автомат,Одеса,2026-06-29,https://auto.ria.com/uk/auto_hyundai_santa-fe_40081538.html
BMW 7 Series 2020,BMW,7,2020,131000,73777,Дизель,Автомат,Київ,2026-06-28,https://auto.ria.com/uk/auto_bmw_7-series_40078005.html
Mercedes-Benz GLA-Class 2016,Mercedes-Benz,GLA-Class,2016,239000,19000,Дизель,Автомат,Ужгород,2026-06-27,https://auto.ria.com/uk/auto_mercedes-benz_gla-class_40076499.html
Ford Escape 2020,Ford,Escape,2020,58000,14550,Бензин,Автомат,Львів (Львівська),2026-06-21,https://auto.ria.com/uk/auto_ford_escape_40040422.html
Ford Escape 2021,Ford,Escape,2021,88000,15850,Бензин,Автомат,Львів (Львівська),2026-06-29,https://auto.ria.com/uk/auto_ford_escape_40080060.html
Hyundai Santa FE 2020,Hyundai,Santa,2020,106000,20500,Бензин,Автомат,Тернопіль,2026-06-28,https://auto.ria.com/uk/auto_hyundai_santa-fe_40078983.html
BMW 3 Series 2014,BMW,3,2014,169000,11999,Бензин,Автомат,Харків,2026-06-26,https://auto.ria.com/uk/auto_bmw_3-series_39744255.html
Audi Q5 2014,Audi,Q5,2014,204000,15500,Бензин,Автомат,Київ,2026-06-19,https://auto.ria.com/uk/auto_audi_q5_39761844.html
BMW 7 Series 2021,BMW,7,2021,102000,48600,Бензин,Автомат,Київ,2026-06-15,https://auto.ria.com/uk/auto_bmw_7-series_39784316.html
Hyundai Tucson 2019,Hyundai,Tucson,2019,55000,22282,Дизель,Автомат,Київ,2026-06-10,https://auto.ria.com/uk/auto_hyundai_tucson_39251722.html
Skoda Superb 2007,Skoda,Superb,2007,332000,4450,Дизель,Автомат,Львів (Львівська),2026-06-29,https://auto.ria.com/uk/auto_skoda_superb_40080926.html
Volvo XC90 2017,Volvo,XC90,2017,102000,29500,Бензин,Автомат,Київ,2026-06-28,https://auto.ria.com/uk/auto_volvo_xc90_38423363.html
Ford Escape 2017,Ford,Escape,2017,202000,11750,Бензин,Автомат,Рівне (Рівненська),2026-06-28,https://auto.ria.com/uk/auto_ford_escape_39937020.html
Mercedes-Benz GLS-Class 2019,Mercedes-Benz,GLS-Class,2019,156000,45000,Дизель,Автомат,Київ,2026-06-28,https://auto.ria.com/uk/auto_mercedes-benz_gls-class_40015423.html
Lexus ES 2013,Lexus,ES,2013,226000,15900,Гібрид,Автомат,Одеса,,https://auto.ria.com/uk/auto_lexus_es_40043811.html
Hyundai Santa FE 2019,Hyundai,Santa,2019,159000,19990,Бензин,Автомат,Нововолинськ,2026-06-27,https://auto.ria.com/uk/auto_hyundai_santa-fe_40076853.html
Audi Q8 2020,Audi,Q8,2020,59000,61300,Дизель,Автомат,Дніпро (Дніпропетровськ),2026-06-07,https://auto.ria.com/uk/auto_audi_q8_39983373.html
Hyundai Santa FE 2012,Hyundai,Santa,2012,77000,15700,Бензин,Автомат,Київ,2026-06-07,https://auto.ria.com/uk/auto_hyundai_santa-fe_39561946.html
Mercedes-Benz M-Class 2006,Mercedes-Benz,M-Class,2006,318000,8500,Бензин,Автомат,Чернівці (Чернівецька),2026-06-06,https://auto.ria.com/uk/auto_mercedes-benz_m-class_39687962.html
Audi A6 2019,Audi,A6,2019,220000,23800,Бензин,Автомат,Львів (Львівська),2026-06-29,https://auto.ria.com/uk/auto_audi_a6_40080284.html
Audi Q3 2024,Audi,Q3,2024,38000,26300,Бензин,Автомат,Львів (Львівська),2026-06-29,https://auto.ria.com/uk/auto_audi_q3_40080252.html
Audi A5 2020,Audi,A5,2020,146000,21800,Бензин,Автомат,Львів (Львівська),2026-06-29,https://auto.ria.com/uk/auto_audi_a5_40080216.html
BMW 7 Series 2014,BMW,7,2014,217000,22222,Дизель,Автомат,Київ,2026-06-27,https://auto.ria.com/uk/auto_bmw_7-series_38412784.html
Audi Q5 2023,Audi,Q5,2023,25000,52500,Бензин,Автомат,Київ,2026-06-26,https://auto.ria.com/uk/auto_audi_q5_39939462.html
Land Rover Range Rover Evoque 2015,Land,Rover,2015,147000,14800,Дизель,Автомат,Шептицький,2026-06-26,https://auto.ria.com/uk/auto_land-rover_range-rover-evoque_40036877.html
Mazda CX-5 2019,Mazda,CX-5,2019,73000,22200,Бензин,Автомат,Вінниця,2026-06-18,https://auto.ria.com/uk/auto_mazda_cx-5_38804054.html
Skoda Superb 2019,Skoda,Superb,2019,200000,23000,Дизель,Автомат,Київ,2026-06-11,https://auto.ria.com/uk/auto_skoda_superb_37136592.html
Audi Q8 2021,Audi,Q8,2021,170000,43000,Бензин,Автомат,Львів (Львівська),,https://auto.ria.com/uk/auto_audi_q8_39769568.html
Mercedes-Benz G-Class 2013,Mercedes-Benz,G-Class,2013,199000,45000,Бензин,Автомат,Київ,2026-06-29,https://auto.ria.com/uk/auto_mercedes-benz_g-class_39984295.html
Mercedes-Benz Vito 2013,Mercedes-Benz,Vito,2013,479000,12500,Дизель,Ручна / Механіка,Чернівці (Чернівецька),2026-06-27,https://auto.ria.com/uk/auto_mercedes-benz_vito_40074934.html
Mercedes-Benz C-Class 2015,Mercedes-Benz,C-Class,2015,285000,16200,Дизель,Автомат,Самбір,2026-06-21,https://auto.ria.com/uk/auto_mercedes-benz_c-class_39160574.html
BMW 7 Series 2016,BMW,7,2016,135000,31500,Бензин,Типтронік,Київ,2026-06-18,https://auto.ria.com/uk/auto_bmw_7-series_39167313.html
Skoda Superb 2020,Skoda,Superb,2020,202000,28400,Дизель,Робот,Львів (Львівська),2026-06-17,https://auto.ria.com/uk/auto_skoda_superb_40028961.html
BMW X3 2018,BMW,X3,2018,136000,26000,Бензин,Автомат,Київ,2026-06-12,https://auto.ria.com/uk/auto_bmw_x3_40008410.html
Nissan Rogue Sport 2022,Nissan,Rogue,2022,68000,19900,Бензин,Автомат,Одеса,,https://auto.ria.com/uk/auto_nissan_rogue-sport_39904427.html
Mercedes-Benz Sprinter 2003,Mercedes-Benz,Sprinter,2003,844000,13200,Дизель,Ручна / Механіка,Вінниця,2026-06-10,https://auto.ria.com/uk/auto_mercedes-benz_sprinter_39996134.html
Mercedes-Benz GL-Class 2013,Mercedes-Benz,GL-Class,2013,170000,27000,Дизель,Автомат,Дніпро (Дніпропетровськ),2026-06-09,https://auto.ria.com/uk/auto_mercedes-benz_gl-class_39993966.html
Mercedes-Benz EQE 2022,Mercedes-Benz,EQE,2022,9000,34999,Електро,,Київ,,https://auto.ria.com/uk/auto_mercedes-benz_eqe_39823832.html
BMW 3 Series 2021,BMW,3,2021,120000,24850,Бензин,Автомат,Стрий,2026-06-27,https://auto.ria.com/uk/auto_bmw_3-series_40076472.html
Ford Escape 2018,Ford,Escape,2018,260000,10000,Бензин,Автомат,Тернопіль,2026-06-27,https://auto.ria.com/uk/auto_ford_escape_37405045.html
Audi Q5 2020,Audi,Q5,2020,100000,36000,Бензин,Автомат,Київ,2026-06-26,https://auto.ria.com/uk/auto_audi_q5_40069451.html
BMW 7 Series 2015,BMW,7,2015,190000,26000,Бензин,Автомат,Львів (Львівська),2026-06-24,https://auto.ria.com/uk/auto_bmw_7-series_40061745.html
Mercedes-Benz C-Class 2022,Mercedes-Benz,C-Class,2022,51000,40000,Бензин,Автомат,Одеса,2026-06-28,https://auto.ria.com/uk/auto_mercedes-benz_c-class_39941413.html
Ford Kuga 2020,Ford,Kuga,2020,112000,18800,Дизель,Автомат,Київ,2026-06-27,https://auto.ria.com/uk/auto_ford_kuga_39939563.html
Jeep Compass 2021,Jeep,Compass,2021,25000,18200,Бензин,Автомат,Полтава,2026-06-23,https://auto.ria.com/uk/auto_jeep_compass_40055788.html
Mercedes-Benz GLC-Class 2020,Mercedes-Benz,GLC-Class,2020,106000,42900,Дизель,Автомат,Львів (Львівська),2026-06-21,https://auto.ria.com/uk/auto_mercedes-benz_glc-class_40046814.html
Mercedes-Benz C-Class 2023,Mercedes-Benz,C-Class,2023,16000,41500,Бензин,Автомат,Одеса,2026-06-17,https://auto.ria.com/uk/auto_mercedes-benz_c-class_39625893.html
Ford Escape 2016,Ford,Escape,2016,139000,12600,Бензин,Автомат,Київ,2026-06-16,https://auto.ria.com/uk/auto_ford_escape_40024782.html
Honda CR-V 2022,Honda,CR-V,2022,85000,32970,Бензин,Варіатор,Мостиська,2026-06-29,https://auto.ria.com/uk/auto_honda_cr-v_40015738.html
Opel Astra 2011,Opel,Astra,2011,275000,7200,Дизель,Ручна / Механіка,Кременець,2026-06-29,https://auto.ria.com/uk/auto_opel_astra_40083016.html
Ford Kuga 2022,Ford,Kuga,2022,53000,22000,Бензин,Автомат,Львів (Львівська),2026-06-25,https://auto.ria.com/uk/auto_ford_kuga_40064503.html
Toyota RAV4 1999,Toyota,RAV4,1999,201000,6900,Бензин,Автомат,Сміла,2026-06-24,https://auto.ria.com/uk/auto_toyota_rav4_39921882.html
Toyota Land Cruiser Prado 2003,Toyota,Land,2003,305000,10900,Бензин,Автомат,Одеса,,https://auto.ria.com/uk/auto_toyota_land-cruiser-prado_40041639.html
BMW 7 Series 2014,BMW,7,2014,261000,15500,Дизель,,Київ,2026-06-23,https://auto.ria.com/uk/auto_bmw_7-series_39584780.html
Jeep Compass 2019,Jeep,Compass,2019,108000,16700,,,Рівне (Рівненська),2026-06-21,https://auto.ria.com/uk/auto_jeep_compass_37624436.html
Ford Escape 2013,Ford,Escape,2013,162000,10000,Бензин,Автомат,Чернівці (Чернівецька),2026-06-21,https://auto.ria.com/uk/auto_ford_escape_39976472.html
Hyundai Santa FE 2020,Hyundai,Santa,2020,114000,30450,Бензин,Автомат,Ужгород,2026-06-11,https://auto.ria.com/uk/auto_hyundai_santa-fe_39291611.html
Mercedes-Benz E-Class 2018,Mercedes-Benz,E-Class,2018,119000,37500,Бензин,Типтронік,Київ,2026-06-29,https://auto.ria.com/uk/auto_mercedes-benz_e-class_40081564.html
Nissan Rogue 2015,Nissan,Rogue,2015,151000,9200,Бензин,Варіатор,Новояворівськ,2026-06-29,https://auto.ria.com/uk/auto_nissan_rogue_40080004.html
Jeep Compass 2017,Jeep,Compass,2017,189000,15900,Бензин,Автомат,Львів (Львівська),2026-06-28,https://auto.ria.com/uk/auto_jeep_compass_40078053.html
Mercedes-Benz GLC-Class 2016,Mercedes-Benz,GLC-Class,2016,180000,27600,Дизель,Автомат,Львів (Львівська),2026-06-27,https://auto.ria.com/uk/auto_mercedes-benz_glc-class_40076056.html
Mercedes-Benz E-Class 2006,Mercedes-Benz,E-Class,2006,213000,8700,Бензин,Автомат,Одеса,2026-06-27,https://auto.ria.com/uk/auto_mercedes-benz_e-class_39990939.html
Opel Astra 2014,Opel,Astra,2014,237000,8999,Дизель,Ручна / Механіка,Стрий,2026-06-27,https://auto.ria.com/uk/auto_opel_astra_40075889.html
Toyota RAV4 2019,Toyota,RAV4,2019,109000,34700,Гібрид,Варіатор,Одеса,2026-06-29,https://auto.ria.com/uk/auto_toyota_rav4_40064860.html
Nissan Maxima 2004,Nissan,Maxima,2004,48000,9900,Бензин,Ручна / Механіка,Одеса,2026-06-27,https://auto.ria.com/uk/auto_nissan_maxima_40074037.html
Volkswagen ID.4 2022,Volkswagen,ID.4,2022,74000,21600,Електро,,Сміла,2026-06-25,https://auto.ria.com/uk/auto_volkswagen_id-4_39943262.html
Land Rover Range Rover Evoque 2017,Land,Rover,2017,134000,18000,Дизель,Автомат,Київ,2026-06-23,https://auto.ria.com/uk/auto_land-rover_range-rover-evoque_39936391.html
Mercedes-Benz GLB-Class 2020,Mercedes-Benz,GLB-Class,2020,81000,25500,Бензин,Автомат,Луцьк,2026-06-20,https://auto.ria.com/uk/auto_mercedes-benz_glb-class_40042662.html
Mercedes-Benz S-Class 2007,Mercedes-Benz,S-Class,2007,181000,22000,Бензин,Автомат,Бровари,2026-06-16,https://auto.ria.com/uk/auto_mercedes-benz_s-class_40026008.html
